X1,Y,YC,X2_1,X2_2,X2_3,X2_4,X2_5,X2_6,MU0,MU1,S1,GT
1,240.0,1,6,25,2,1,5,7,140.0,340.0,1,200.0
0,24.0,0,14,41,1,3,2,19,-76.0,124.0,1,200.0
0,15.0,0,1,64,1,2,2,14,-85.0,115.0,1,200.0
1,300.0,1,1,55,1,2,5,7,200.0,400.0,1,200.0
1,300.0,1,15,29,1,2,5,14,200.0,400.0,1,200.0
1,200.0,0,1,34,2,2,5,13,100.0,300.0,1,200.0
1,60.0,0,3,35,2,1,5,16,-40.0,160.0,1,200.0
0,583.0,1,8,39,1,2,3,8,483.0,683.0,1,200.0
1,700.0,1,8,42,2,2,5,3,600.0,800.0,1,200.0
0,150.0,0,11,48,1,2,3,1,50.0,250.0,1,200.0
1,220.0,1,1,40,1,2,5,13,120.0,320.0,1,200.0
1,178.0,0,5,44,2,2,4,19,78.0,278.0,1,200.0
1,200.0,0,3,28,2,1,5,17,100.0,300.0,1,200.0
1,300.0,1,8,56,2,2,4,14,200.0,400.0,1,200.0
0,500.0,1,6,53,1,1,3,14,400.0,600.0,1,200.0
0,100.0,0,2,65,2,3,3,19,0.0,200.0,1,200.0
1,410.0,1,8,41,2,2,5,17,310.0,510.0,1,200.0
1,230.0,1,15,28,1,1,5,3,130.0,330.0,1,200.0
1,296.0,1,8,36,1,2,4,8,196.0,396.0,1,200.0
1,100.0,0,16,44,1,1,4,6,0.0,200.0,1,200.0
0,80.0,0,8,21,2,1,3,7,-20.0,180.0,1,200.0
0,70.0,0,8,56,1,3,2,7,-30.0,170.0,1,200.0
0,270.0,1,6,39,1,2,3,7,170.0,370.0,1,200.0
0,300.0,1,1,19,1,1,3,9,200.0,400.0,1,200.0
1,300.0,1,1,35,2,2,5,10,200.0,400.0,1,200.0
1,350.0,1,13,49,1,2,4,5,250.0,450.0,1,200.0
0,200.0,0,8,39,1,2,3,3,100.0,300.0,1,200.0
1,200.0,0,2,58,1,3,5,14,100.0,300.0,1,200.0
0,900.0,1,12,39,1,2,3,3,800.0,1000.0,1,200.0
0,600.0,1,8,46,1,2,3,3,500.0,700.0,1,200.0
1,500.0,1,2,44,1,2,5,11,400.0,600.0,1,200.0
1,100.0,0,1,63,1,2,5,3,0.0,200.0,1,200.0
1,100.0,0,1,63,1,2,4,17,0.0,200.0,1,200.0
0,400.0,1,13,44,1,2,3,3,300.0,500.0,1,200.0
1,200.0,0,12,39,2,1,5,13,100.0,300.0,1,200.0
1,240.0,1,3,45,1,2,5,15,140.0,340.0,1,200.0
0,220.0,1,15,59,2,3,2,9,120.0,320.0,1,200.0
0,250.0,1,15,35,1,2,3,9,150.0,350.0,1,200.0
0,274.0,1,14,40,2,2,3,7,174.0,374.0,1,200.0
1,500.0,1,3,29,1,2,4,3,400.0,600.0,1,200.0
1,300.0,1,14,37,1,2,4,3,200.0,400.0,1,200.0
1,370.0,1,15,43,2,2,5,3,270.0,470.0,1,200.0
1,560.0,1,3,34,1,2,4,8,460.0,660.0,1,200.0
0,160.0,0,1,42,1,2,3,3,60.0,260.0,1,200.0
0,230.0,1,1,64,1,2,2,3,130.0,330.0,1,200.0
