pid,year,p_region,p_age,p_sex,p_married,p_edu,Ind
14002,2003.9668,0.7890887,9.951313,0.24073768,0.4012727,0.88596404,2.0547855
14101,2003.9668,0.7890893,9.951308,0.24073866,0.401272,0.88595986,2.054787
14102,2012.297,3.3622673,31.227182,0.6329029,1.3140762,2.480157,6.0409775
14103,2003.9668,0.78910244,9.951319,0.24074051,0.40128088,0.88596004,2.0547924
14202,2020.6484,5.819914,53.299828,1.0174358,2.2532535,4.120755,9.9266205
14203,2020.6484,5.8199058,53.299828,1.0174503,2.2532601,4.1207504,9.926622
14301,2003.9668,0.78909993,9.951348,0.24074474,0.40127802,0.88596433,2.0548007
14401,2008.1213,2.1334786,20.190777,0.44083926,0.8445184,1.6598773,4.0982165
14403,2008.1213,2.1334598,20.19077,0.440831,0.84450555,1.6598785,4.0982156
14501,2016.4728,4.591124,42.263607,0.82511485,1.7836429,3.3004696,7.9837966
14502,2008.1213,2.1334674,20.190788,0.44083786,0.8445231,1.6598723,4.0982223
14503,2008.1213,2.133468,20.190779,0.44082996,0.8445194,1.6598706,4.0982194
14504,2003.9668,0.7890885,9.951309,0.24074042,0.4012727,0.8859621,2.0547857
14604,2003.9668,0.7890878,9.951301,0.24073684,0.40126872,0.8859572,2.054783
14701,2003.9668,0.78909075,9.951316,0.24073705,0.40127087,0.88596034,2.0547872
14809,2012.297,3.362263,31.227198,0.63290656,1.3140596,2.4801621,6.0409765
14901,2012.297,3.3622797,31.227182,0.63288283,1.3140458,2.480166,6.040976
14902,2016.4728,4.591136,42.263607,0.8251112,1.7836233,3.3004723,7.983792
14903,2008.1213,2.1334617,20.190788,0.44083568,0.8445146,1.6598656,4.0982227
14904,2003.9668,0.7890954,9.951331,0.24074292,0.4012828,0.8859631,2.0547943
15003,2003.9668,0.78910065,9.951331,0.24074867,0.40128702,0.8859649,2.0547988
15004,2008.1213,2.1334677,20.190783,0.44083172,0.84452,1.6598773,4.0982156
15101,2003.9668,0.7890966,9.951335,0.24074563,0.4012872,0.8859644,2.054796
15201,2003.9668,0.78909314,9.951321,0.24073848,0.40127957,0.8859628,2.054789
15301,2020.6484,5.819914,53.29983,1.0174465,2.2532563,4.1207523,9.926624
15303,2008.1213,2.1334698,20.190786,0.44083378,0.84451747,1.6598744,4.0982194
15402,2008.1213,2.1334689,20.190765,0.44083205,0.8445014,1.6598718,4.0982184
15501,2008.1213,2.133472,20.190767,0.4408338,0.8445296,1.6598754,4.0982175
15502,2020.6484,5.8199396,53.29986,1.0174406,2.2532344,4.120742,9.9266405
15504,2003.9668,0.7890905,9.951311,0.2407394,0.40127957,0.885965,2.054784
15601,2008.1213,2.1334753,20.190786,0.44084972,0.8445281,1.6598809,4.0982137
15602,2012.297,3.3622787,31.227184,0.63289267,1.3140332,2.4801621,6.0409737
15701,2008.1213,2.1334755,20.19081,0.4408332,0.8445407,1.659878,4.0982137
15702,2012.297,3.3622723,31.227161,0.63289374,1.3140345,2.4801636,6.0409727
15703,2012.297,3.3622766,31.227175,0.6328925,1.3140376,2.480165,6.0409694
15705,2020.6484,5.8199096,53.29981,1.0174525,2.2532668,4.120741,9.926616
15706,2003.9668,0.7890965,9.951339,0.24074426,0.40128183,0.88596237,2.0547967
15803,2003.9668,0.7890909,9.951307,0.24074683,0.4012766,0.8859676,2.0547826
16001,2003.9668,0.78909945,9.951334,0.24074131,0.40128595,0.8859619,2.0547962
16101,2003.9668,0.78909945,9.951316,0.24074191,0.4012878,0.8859605,2.0547915
